GEOLEV2,OWNED_HH,UNOWNED_HH,OWNED_UK_HH,OWNED_PCT,UNOWNED_PCT,OWNED_UK_PCT
484016045,11532,2144,79,83.84,15.59,0.57
484016046,17534,3641,28,82.7,17.17,0.13
484016047,6078,872,0,87.45,12.55,0.0
484016048,13687,4408,120,75.14,24.2,0.66
484016049,70838,8793,1114,87.73,10.89,1.38
484016050,129812,44935,3920,72.66,25.15,2.19
484016051,545755,176110,1703,75.43,24.34,0.24
484016052,6492,1218,18,84.01,15.76,0.23
484016053,35179,10948,308,75.76,23.58,0.66
484016054,25351,1963,170,92.24,7.14,0.62
484016055,7827,1282,30,85.64,14.03,0.33
484016056,15657,4039,15,79.43,20.49,0.08
484016057,7956,1155,30,87.04,12.64,0.33
484016058,7689,2203,0,77.73,22.27,0.0
484016059,22082,1327,76,94.03,5.65,0.32
484016060,14480,4474,28,76.28,23.57,0.15
