GEOLEV2,RURAL_HH,URBAN_HH,RURAL_PCT,URBAN_PCT
484015017,6549,3330,66.29,33.71
484015018,11120,57352,16.24,83.76
484015019,4017,32892,10.88,89.12
484015020,290,293007,0.1,99.9
484015021,30486,8157,78.89,21.11
484015022,3452,11655,22.85,77.15
484015023,3778,37108,9.24,90.76
484015024,20024,1331322,1.48,98.52
484015025,13073,775229,1.66,98.34
484015026,16226,15511,51.13,48.87
484015027,2057,10713,16.11,83.89
484015028,3237,26808,10.77,89.23
484015029,7304,193256,3.64,96.36
484015030,1580,26094,5.71,94.29
484015031,19628,17327,53.11,46.89
484015032,4943,5882,45.66,54.34
484015033,9020,154215,5.53,94.47
484015034,10885,35865,23.28,76.72
484015035,20597,264089,7.23,92.77
484015036,11917,0,100.0,0.0
484015037,14647,527162,2.7,97.3
484015038,15251,21620,41.36,58.64
484015039,6472,0,100.0,0.0
484015040,14093,145621,8.82,91.18
484015041,10220,20464,33.31,66.69
484015042,1820,41281,4.22,95.78
484015043,39603,47659,45.38,54.62
484015044,9986,9881,50.26,49.74
484015045,47544,29278,61.89,38.11
484015046,23815,45413,34.4,65.6
484015047,6461,8966,41.88,58.12
484015048,1884,25219,6.95,93.05
484015049,39607,130361,23.3,76.7
484015050,17784,10300,63.32,36.68
484015051,2229,58987,3.64,96.36
484015052,4198,237952,1.73,98.27
484015053,3113,10679,22.57,77.43
484015054,13689,19475,41.28,58.72
484015055,34123,799380,4.09,95.91
484015056,3697,53385,6.48,93.52
484015057,16909,413391,3.93,96.07
484015058,1468,8883,14.18,85.82
484015059,19046,53042,26.42,73.58
484015060,33134,3088,91.47,8.53
484015061,31142,5551,84.87,15.13
484015062,11443,23939,32.34,67.66
484015063,4843,0,100.0,0.0
484015064,19862,68882,22.38,77.62
484015065,12452,18308,40.48,59.52
484015066,86,4746,1.78,98.22
484015067,6762,297232,2.22,97.78
484015068,12365,2603,82.61,17.39
484015069,0,15965,0.0,100.0
484015070,1811,30146,5.67,94.33
484015071,150107,94894,61.27,38.73
484015072,13468,15714,46.15,53.85
484015073,994,96436,1.02,98.98
484015074,6691,0,100.0,0.0
484015075,9728,0,100.0,0.0
484015076,9026,5296,63.02,36.98
484015077,18041,5943,75.22,24.78
484015078,8704,538732,1.59,98.41
484015079,72722,35156,67.41,32.59
484015080,7606,6524,53.83,46.17
484015081,10548,33037,24.2,75.8
484015082,41973,24418,63.22,36.78
484015083,34830,0,100.0,0.0
484015084,47006,58717,44.46,55.54
484015085,28453,74808,27.55,72.45
