GEOLEV2,INDIG_YES_POP,INDIG_NO_POP,INDIG_UK_POP,INDIG_YES_PCT,INDIG_NO_PCT,INDIGS_UK_PCT
484015097,7796,7831,21,49.82,50.04,0.13
484015098,2728,44049,241,5.8,93.69,0.51
484015099,955,28772,49,3.21,96.63,0.16
484015100,225741,641466,3254,25.93,73.69,0.37
484015101,1413,10798,36,11.54,88.17,0.29
484015102,13448,136806,419,8.93,90.8,0.28
484015103,3718,54092,407,6.39,92.91,0.7
484015104,30114,19660,141,60.33,39.39,0.28
484015105,18971,29185,146,39.28,60.42,0.3
484015106,1950,62188,260,3.03,96.57,0.4
484015107,44906,55345,415,44.61,54.98,0.41
484015108,19201,32416,112,37.12,62.67,0.22
484015109,673,4113,0,14.06,85.94,0.0
484015110,70,12600,29,0.55,99.22,0.23
484015111,31963,161772,133,16.49,83.44,0.07
484015112,647,16773,10,3.71,96.23,0.06
484015113,30914,236171,489,11.55,88.26,0.18
484016001,1970,8637,20,18.54,81.27,0.19
484016002,1520,11980,243,11.06,87.17,1.77
484016003,3483,18015,77,16.14,83.5,0.36
484016004,17290,87270,345,16.48,83.19,0.33
484016005,864,9372,41,8.41,91.19,0.4
484016006,4891,113162,534,4.12,95.43,0.45
484016007,1226,2101,0,36.85,63.15,0.0
484016008,16309,5928,176,72.77,26.45,0.79
484016009,3463,30206,142,10.24,89.34,0.42
484016010,1316,17710,68,6.89,92.75,0.36
484016011,1271,9755,15,11.51,88.35,0.14
484016012,3357,38825,337,7.9,91.31,0.79
484016013,38,8357,29,0.45,99.2,0.34
484016014,3830,11979,82,24.1,75.38,0.52
484016015,3352,14568,229,18.47,80.27,1.26
484016016,9818,10092,40,49.21,50.59,0.2
484016017,10189,37725,205,21.17,78.4,0.43
484016018,220,8757,32,2.44,97.2,0.36
484016019,450,18368,24,2.39,97.48,0.13
484016020,2779,25588,93,9.76,89.91,0.33
484016021,12241,437,0,96.55,3.45,0.0
484016022,3732,17126,124,17.79,81.62,0.59
484016023,1353,8549,6,13.66,86.28,0.06
484016024,17723,1375,103,92.3,7.16,0.54
484016025,31065,6806,111,81.79,17.92,0.29
484016026,1168,3209,3,26.67,73.26,0.07
484016027,552,4201,11,11.59,88.18,0.23
