GEOLEV2,INT_NO_HH,INT_YES_HH,INT_UK_HH,INT_NO_PCT,INT_YES_PCT,INT_UK_PCT
484014021,11165,9351,0,54.42,45.58,0.0
484014022,19619,19837,0,49.72,50.28,0.0
484014023,32111,81338,32,28.3,71.68,0.03
484014024,13943,15233,0,47.79,52.21,0.0
484014025,7728,11824,0,39.53,60.47,0.0
484014026,2198,4121,2,34.77,65.2,0.03
484014027,14339,3974,0,78.3,21.7,0.0
484014028,1486,680,0,68.61,31.39,0.0
484014029,11833,5967,0,66.48,33.52,0.0
484014030,21670,33108,0,39.56,60.44,0.0
484014031,2578,682,0,79.08,20.92,0.0
484014032,5484,490,0,91.8,8.2,0.0
484014033,11322,9799,0,53.61,46.39,0.0
484014034,1228,715,8,62.94,36.65,0.41
484014035,28759,24236,0,54.27,45.73,0.0
484014036,10684,9238,0,53.63,46.37,0.0
484014037,12870,12989,0,49.77,50.23,0.0
484014038,2689,1503,0,64.15,35.85,0.0
484014039,265227,1112887,292,19.24,80.74,0.02
484014040,6955,1759,6,79.76,20.17,0.07
484014041,3658,2253,0,61.88,38.12,0.0
484014042,8149,1774,0,82.12,17.88,0.0
484014043,12734,10447,0,54.93,45.07,0.0
484014044,31588,36157,0,46.63,53.37,0.0
484014045,12759,7639,0,62.55,37.45,0.0
484014046,14337,18153,16,44.11,55.85,0.05
484014047,11586,12896,0,47.32,52.68,0.0
484014048,11726,7192,0,61.98,38.02,0.0
484014049,4864,3871,2,55.67,44.31,0.02
484014050,25346,21217,0,54.43,45.57,0.0
484014051,19017,11784,0,61.74,38.26,0.0
484014052,3920,1598,0,71.04,28.96,0.0
484014053,80144,91870,0,46.59,53.41,0.0
484014054,2387,2964,0,44.61,55.39,0.0
484014055,11324,10435,0,52.04,47.96,0.0
484014056,1479,332,0,81.67,18.33,0.0
484014057,1490,2596,5,36.42,63.46,0.12
484014058,7675,6707,0,53.37,46.63,0.0
484014059,5307,8485,0,38.48,61.52,0.0
484014060,3664,1633,0,69.17,30.83,0.0
484014061,19683,1246,8,94.01,5.95,0.04
484014062,2611,1009,0,72.13,27.87,0.0
484014063,36154,69697,39,34.14,65.82,0.04
484014064,23406,10141,0,69.77,30.23,0.0
484014065,6670,4661,0,58.87,41.13,0.0
484014066,34093,19286,0,63.87,36.13,0.0
484014067,86649,203333,96,29.87,70.1,0.03
484014068,6362,4910,10,56.39,43.52,0.09
484014069,6014,1693,0,78.03,21.97,0.0
484014070,122718,97023,0,55.85,44.15,0.0
484014071,2561,346,0,88.1,11.9,0.0
484014072,4067,3517,0,53.63,46.37,0.0
484014073,30567,41248,66,42.52,57.38,0.09
484014074,8453,8256,9,50.56,49.38,0.05
484014075,2375,1358,8,63.49,36.3,0.21
484014076,2413,664,0,78.42,21.58,0.0
484014077,16708,11282,0,59.69,40.31,0.0
484014078,15583,16329,0,48.83,51.17,0.0
484014079,10462,5891,0,63.98,36.02,0.0
484014080,3433,1653,0,67.5,32.5,0.0
484014081,2225,1277,6,63.43,36.4,0.17
484014082,16615,20178,0,45.16,54.84,0.0
484014083,29267,58229,0,33.45,66.55,0.0
484014084,8900,6010,0,59.69,40.31,0.0
484014085,15149,23251,0,39.45,60.55,0.0
484014086,14113,6856,0,67.3,32.7,0.0
484014087,8722,7806,0,52.77,47.23,0.0
484014088,10850,5687,0,65.61,34.39,0.0
484014089,2412,1642,0,59.5,40.5,0.0
484014090,4356,2924,0,59.84,40.16,0.0
484014091,14347,25404,0,36.09,63.91,0.0
484014092,6525,4409,9,59.63,40.29,0.08
484014093,48532,100963,66,32.45,67.51,0.04
484014094,19661,24461,36,44.52,55.39,0.08
484014095,3815,5822,0,39.59,60.41,0.0
484014096,10532,12033,0,46.67,53.33,0.0
484014097,245232,480587,721,33.75,66.15,0.1
484014098,190161,495392,40,27.74,72.26,0.01
484014099,6788,3533,0,65.77,34.23,0.0
484014100,23985,12212,0,66.26,33.74,0.0
484014101,193065,375443,557,33.93,65.98,0.1
484014102,3340,2621,0,56.03,43.97,0.0
