GEOLEV2,EMPLOYED_POP,UNEMPLOYED_POP,EMP_IN_POP,EMP_UK_POP,EMPLOYED_PCT,UNEMPLOYED_PCT,EMP_IN_PCT,EMP_UK_PCT
484008059,1332,348,1233,12,45.54,11.9,42.15,0.41
484008060,10297,2873,10418,27,43.6,12.17,44.12,0.11
484008061,1749,688,1797,16,41.15,16.19,42.28,0.38
484008062,399,225,557,10,33.5,18.89,46.77,0.84
484008063,3577,2435,6284,36,29.01,19.75,50.96,0.29
484008064,1137,1213,2553,4,23.17,24.72,52.03,0.08
484008065,1570,349,1953,4,40.51,9.0,50.39,0.1
484009001,2688441,320517,1690735,14061,57.03,6.8,35.87,0.3
484009002,1018067,128697,754944,2619,53.46,6.76,39.64,0.14
484009003,108857,16637,83338,1140,51.84,7.92,39.69,0.54
484009004,73949,5315,44835,178,59.5,4.28,36.08,0.14
484009005,179177,20130,127227,351,54.81,6.16,38.92,0.11
484009006,340896,33304,212574,1585,57.94,5.66,36.13,0.27
484010001,20085,4635,20525,175,44.22,10.2,45.19,0.39
484010002,1134,539,1450,6,36.24,17.23,46.34,0.19
484010003,1170,248,1634,35,37.9,8.03,52.93,1.13
484010004,12987,2010,11620,46,48.71,7.54,43.58,0.17
484010005,284411,34796,215783,1500,53.01,6.49,40.22,0.28
484010006,2897,1038,3578,13,38.49,13.79,47.54,0.17
484010007,148010,20476,118037,466,51.57,7.13,41.13,0.16
484010008,12901,2625,13011,52,45.13,9.18,45.51,0.18
484010009,3402,665,3442,39,45.07,8.81,45.6,0.52
484010010,1052,278,1747,12,34.06,9.0,56.56,0.39
484010011,1586,413,1796,2,41.77,10.88,47.3,0.05
484010012,63414,8310,55655,293,49.67,6.51,43.59,0.23
484010013,9313,1563,8790,95,47.13,7.91,44.48,0.48
484010014,5710,5940,18432,220,18.84,19.6,60.83,0.73
484010015,4130,1062,4663,59,41.66,10.71,47.03,0.6
484010016,6466,1404,6646,85,44.28,9.62,45.52,0.58
484010017,2528,653,3212,12,39.47,10.2,50.15,0.19
484010018,3920,607,3698,25,47.52,7.36,44.82,0.3
484010019,1441,367,1784,8,40.03,10.19,49.56,0.22
484010020,4091,1280,4611,176,40.27,12.6,45.39,1.73
484010021,3587,657,4007,85,43.03,7.88,48.07,1.02
484010022,8115,2443,9363,69,40.6,12.22,46.84,0.35
484010023,16137,2060,18300,32,44.18,5.64,50.1,0.09
484010024,4393,1124,4334,17,44.52,11.39,43.92,0.17
484010025,975,267,1083,19,41.6,11.39,46.2,0.81
484010026,4216,2020,6234,96,33.55,16.08,49.61,0.76
484010027,1595,447,2018,8,39.21,10.99,49.61,0.2
484010028,3631,871,4531,57,39.94,9.58,49.85,0.63
